2571	— I know.
2572	— Then why are you here?
2573	— Because I didn't promise you any such thing.
2574	— Where do you want to go?
2575	— I don't care.
2576	— That's not true.
2577	— I want to go to the big water.
2578	— And when can you?
2579	— Right now, even.
2580	— Well, let's go.
2581	— I'll settle the bill.
2582	Miyechka got up and went to the bar counter.
2583	Her mood suddenly improved, she decided for herself that she wouldn't think about anything, that here were a few days and they could be lived, and altogether she had promised herself that this summer would be outside time, outside space, outside everything.
2584	And besides, she had a little shelter, a refuge to which she could return, where, by happy and unhappy circumstances, only women lived, except for the grandmother's ginger cat.
2585	They set off that same evening.
2586	The sun blinded their eyes, Miyechka squinted, curled up on the front seat, and told stories about when she was little.
2587	Trucks stood along the highway, striped watermelons spilling out of them.
2588	They stopped.
2589	— You go out, — said Ustym.
2590	Miyechka got out in her strappy tank top.
2591	The watermelon seller stood in profile.
2592	His belly was the size of three medium watermelons.
2593	— Good evening, — said Miyechka.
2594	He looked at her against the sun.
2595	— How many?
2596	— he finally spoke.
2597	— One, — retorted Miyechka.
2598	— Choose whichever one you want.
2599	Miyechka stood and looked at the watermelons.
2600	They were all equally striped, equally gleaming in the sun, equally green.
2601	She remembered about the dry little stem.
2602	There were no little stems.
2603	She felt helplessness and powerlessness rolling over her.
2604	Then suddenly a tenderness rolled over her toward the pile of watermelons, toward each of them.
2605	She understood that it didn't matter which one she took, it changed nothing.
2606	— Are you going to take one?
2607	— asked the seller.
2608	In the middle of his belly, a little asymmetrically, slanting down and to the left, his navel showed.
2609	Miyechka nodded.
2610	She put the watermelon on her legs and rode with it in her lap, then put it on the floor mat and rested her bare heels on it.
2611	The watermelon was smooth and warm.
2612	— You know, — she said to Ustym, — my grandmother sees the dead in photographs.
2613	— How's that?
2614	— Ustym watched the road, in his glasses flickered the oncoming cars that occasionally drove along the evening highway.
2615	— She takes a photo and sees those who were still alive back then.
2616	Even though they're not in the photo.
2617	Miyechka took out her phone and found an old black-and-white photograph of a woman sitting at a table.
2618	On the table stood a bowl of pears.
2619	The woman looks straight ahead with a barely noticeable smile, on her face there isn't a shadow of a pose.
2620	— This is my great-grandmother, — said Miyechka.
2621	Ustym cast a quick glance at the photo.
2622	— Grandmother, when she looks at this photo, sees that it's August, because of the pears, — Miyechka went on.
2623	— And great-grandfather passed away in November.
2624	And she says — so great-grandfather was still alive then.
2625	And his sister was still alive then too, she outlived him by two years.
2626	And Aunt Toma had only just died.
2627	You see?
2628	She sees those who aren't in the photo.
2629	— It's like me, in every historical photo I see whoever was General Secretary at the time.
2630	— How's that?
2631	— Well, some aunt recently shows her wedding photo, and I think — so she got married back under Andropov.
2632	They arrived when it was dark.
2633	On the seashore music thundered and occasional shouts rang out.
2634	Along the water people walked selling cold beer.
2635	It smelled of corn, alcohol and some kind of meat.
2636	— Well, dear, are you glad?
2637	— asked Ustym and smiled.
2638	— I dreamed of it all my life, — answered Miyechka.
2639	— Hungry?
2640	Shall I buy you a little kebab?
2641	— Ha-ha.
2642	Not far from the sea they saw several hotels.
2643	Two had no vacancies.
2644	In one only the 'deluxe' was left.
2645	The hotel was called 'Hortensia.'
2646	'Deluxe' meant that the toilet was in the room.
2647	They were met by the landlady in a wide blue robe with little pink flowers.
2648	Her arms were dark brown, while under her armpits white skin flashed now and then.
2649	It was hard to believe that she was like this in winter.
2650	Or maybe, as is often the way by the sea, she herself had never even been to the beach.
2651	— I'm Lida, — said the landlady.
2652	— Good evening, — said Ustym.
2653	Miyechka was holding the watermelon.
2654	She had no other things.
2655	She wanted to sleep and to eat.
2656	— Why are you so helpless, sweetheart?
2657	— Ustym put his arm around her shoulders.
2658	— Or aren't you glad of the sea?
2659	— Everything's okay, — said Miyechka and pressed the watermelon to herself.
2660	She felt very sorry for herself.
2661	She was not a little bird, as Danylo called her, but a little parrot that had treacherously escaped its cage and found itself in a cruel world.
2662	Lida took a bunch of keys, detached the one with a plaster stuck on it bearing the worn inscription '8,' and gave it to Ustym.
2663	— Take it for at least seven days, why don't you, — said Lida.
2664	— Later you'll decide you want it, and there'll be no rooms left.
2665	— Thank you, we'd just like to spend the night, — retorted Miyechka.
2666	In the room it was hot and there was a stifling smell.
2667	— At last we're at a resort, — Ustym joked.
2668	— Just as you dreamed.
2669	— Hurray!
2670	— Miyechka cried out with feigned enthusiasm.
2671	— It's so hot and I so want to hold you, — said Ustym.
2672	Tears welled up in Miyechka's eyes.
2673	She realized that over the whole day, apart from a smile, he hadn't said a single kind word to her.
2674	And she remembered all those wise words that had been so easy for her to follow.
2675	'Don't be a burden,' everyone said. 'A woman should be spontaneous, light and joyful.'
2676	Very easy to do with everyone, except him.
2677	Ustym came up to Miyechka, finally took the watermelon out of her hands.
2678	And said:
2679	— I love you, my little bird.
2680	Miyechka wanted to embrace him, but there was a watermelon between them.
2681	They put it on one of the beds.
2682	The deluxe room had two single beds with pillows folded into triangles.
2683	And an hour later you could still hear the drunken shouts and the thumping of bass from the shore.
2684	Behind the wall a child was crying.
2685	In the courtyard of the 'Hortensia' hotel a dog howled.
2686	Lida, perhaps, was already asleep.
2687	In room eight of the 'Hortensia' hotel it was hot, but cozy in the way it can only be for two dear people alone with each other.
2688	Miyechka came out of the shower, where along with herself she'd washed all her clothes, since she had no others with her.
2689	Through the window coolness suddenly burst in, and it smelled of rain.
2690	Down in the courtyard grapevines grew, where Lida hid from the southern sun during the day.
2691	The grape leaves began to flutter.
2692	Behind the wall the child began crying again.
2693	The rain began.
2694	The child was crying.
2695	Ustym embraced Miyechka, still wet from the shower.
2696	There was a knock at the door.
2697	— Did you come by car?
2698	— in the corridor stood Lida in a white nightgown.
2699	— Yes, — answered Ustym.
2700	— In the next room the little one's in a bad way, and there's no doctor here, it's twenty kilometers away, — Lida rattled on, gasping for air.
2701	Quick footsteps were heard in the corridor, a woman was running with a child in her arms.
2702	Ustym put on his shorts, Miyechka put on her just-washed wet tank top.
2703	They grabbed their things, threw them into the car.
2704	The woman got into the back seat.
2705	The child was uncontrollably nauseous.
2706	You couldn't tell whether it was a girl or a boy, but the woman whispered to it 'Irochka.'
2707	Irochka was rolling her eyes and wanted to pass out.
2708	Ustym poured water into her, twisted around from the front seat.
2709	The water came right back up.
2710	The car was shaken on the road.
2711	At night Miyechka could see very badly and was afraid of losing a wheel in a pothole.
2712	They drove into the district center.
2713	There was almost no lighting.
2714	Along both sides of the road grew southern poplars with white trunks.
2715	Ustym took the child in his arms and walked at a brisk pace into the district hospital.
2716	The doctors came running.
2717	The woman whispered some words of thanks and cried.
2718	It was four in the morning.
2719	They drove out of the district center, over which the sky was only just beginning to lighten, turning from black to dark gray.
2720	The highway ran along the sea.
2721	The taverns stood as if dead, Miyechka was cold from her wet clothes.
2722	Tents stood on the sand.
2723	They drove farther from the taverns and the tents and stopped on the beach.
2724	The sea was calm, the way it is after rain.
2725	Dove-gray in color with a light steam over the water, it was like a cloud.
2726	Ustym got out his own shirt for Miyechka, she undressed while he tested the water with his foot.
2727	— The water is warmer than the air, — she said, coming up behind him and touching the water with her fingers.
2728	— If you remembered even a little physics, — retorted Ustym, — you could have predicted that.
2729	The sea is steaming, can't you see?
2730	Miyechka embraced him and said:
2731	— Let's go home.
2732	On the way they ate the watermelon.
2733	Miyechka dug out the flesh with a pocket knife and handed pieces to Ustym.
2734	She splattered her legs, the seat, Ustym.
2735	Then they swam in a quarry and cleaned the car of the night's adventures with the child.
2736	Lida called and said they'd forgotten their flip-flops in the room.
2737	Miyechka said she was fine barefoot too.
2738	She lay on the water, and beneath her — hundreds of meters of quarry.
