2761	And she walked off toward the apple trees.
2762	Already from the orchard she texted Lilichka to bring her some shoes and something decent to wear to the apple trees.
2763	When the red Honda appeared on the horizon, Miyechka ran out of the apple orchard, where she'd been waiting for rescue, and ran to meet the car, waving her not-yet-dry shorts.
2764	— Pick up the madwoman!
2765	— she started banging on Lilichka's window, showing that she was in nothing but her underwear.
2766	Lilichka laughed, threw a black-and-white dress with a brooch on the chest into her face and said:
2767	— Get dressed!
2768	While Miyechka put on the dress and shook out her wet hair to arrange it into something decent on her head, Lilichka said:
2769	— Right, we have twenty minutes to spare.
2770	I'm not going to tell anyone that I picked you up by the orchard in someone else's shirt and your underwear.
2771	And they sat in the car for another twenty minutes, listening to music loudly.
2772	Lilichka knew that her sister wouldn't tell her anything right now, and Miyechka was grateful to her for that.
2773	The Battle with the Ivy
2774	Lusya was playing outside.
2775	Marta and Maria sat on the old terrace, which was laid with boards down to the grass.
2776	The grass was constantly trying to take over the terrace, and while the grandmother surrendered to it, Marta fought daily with the knotgrass, the dandelions and the field grass, winning back the terrace boards for herself.
2777	The wood had grown dull and to the touch of bare feet was warm and rough.
2778	Marta was constantly being jostled in different directions by her children.
2779	And she always sat frowning.
2780	Her eyebrows, like the grass, were also winning back their place on her face.
2781	She had arrived with evenly plucked eyebrows like wings, and now these wings had grown out all the way to her eyelids, and she looked even sterner than she really was.
2782	Her hair was growing out too.
2783	The even line of locks, black as her brows, was getting lower and lower.
2784	Evening was descending onto the terrace.
2785	Maria soon carried Lusya, with her dirty feet, inside — the lights hadn't been turned on yet in the house, and all the rooms were evenly gray: the dusk was just settling in there.
2786	Lusya went limp, didn't laugh, didn't cry, but with hazy eyes watched Maria as she washed each of her little toes in a bowl of warm water.
2787	After a while they went into the far little room, where since Ustym had fixed the roof there hadn't been a single drop of water, except that in the vase, where a single early sunflower stood, helplessly drooping its head in the dusk.
2788	Maria lay down beside Lusya and began to talk to her about sleep, about night, about the stars and the still water on the river, where the water lilies bloom with small yellow flowers.
2789	Lusya was silent, her eyes losing more and more of their clarity, and she, suddenly letting go of Maria's hand, fell asleep.
2790	This moment, when one second she's still with you, and now she has flown off to her own sleepy lands, always amazed Maria.
2791	How strange it is, when a person falls asleep beside you, to suddenly find yourself alone with yourself.
2792	Now, with no one anymore, Maria looked into the gray window, against which equally gray branches insistently tapped, and fell asleep herself.
2793	Marta just sat there on the terrace — on a stool, leaning her back against the wall.
2794	She had found a few more of the grandfather's shirts — in color they ranged from light blue to blue, some with shiny stripes, on a few silver cufflinks remained.
2795	She no longer fit into her own clothes, so right now she wore the grandfather's pale-blue shirt.
2796	'What a pity,' Marta thought, 'that you can't see where the grandfather went in this shirt — in the black-and-white photographs they all looked equally gray.'
2797	The children calmed down, and she looked straight ahead, waiting to see whether Maria would come out to her again.
2798	Maria didn't come, and Marta looked at her slightly tanned legs, tucked her hair behind her ears and watched how, inevitably, first the cherry trees darkened, then the walnut, then the grass, and finally the sky itself turned dark gray.
2799	She walked around the house and looked into the little room with the sunflower.
2800	It was quiet and still there.
2801	In the room Lusya's face stood out as a pale patch.
2802	Maria, then, had turned to face the wall.
2803	Marta then went down, fending off the ivy that crept up and grabbed her legs, pushing aside the raspberry that scratched her neck and tried to strangle her, forcing her way through the acacias that tore at her hands.
2804	Darkness had settled in the bushes.
2805	She reached the water, a small rise where there was no wild blackberry, raspberry or ivy, because willows towered over the rise and shared their light with no other creature.
2806	From here the house seemed small to her, as if it had shrunk entirely, as if the ivy had wrapped around it completely and the bricks had crumbled, the roof had sagged and in that place there was now nothing.
2807	Marta stood caught off guard by a sudden vision, as if there were not a single living soul around, as if the river had already become completely overgrown with reeds, and in those reeds foxes had already bred, hunting the birds that now and then rose up timidly and vanished into the darkness.
2808	And their house is gone, there's not a single living soul: everyone has scattered, gotten lost, and there's nowhere left to come to when you feel like a loser.
2809	Horror rolled over Marta, she felt as lonely as never before.
2810	She tried to remind herself that she was alive, looked at her own hands, at her shoes, strained to remember where she'd gotten these moccasins, where they had come to her from.
2811	— Martusya, — said the grandfather's voice from under the willows.
2812	— And I wanted to name you Marusya.
2813	— You already have a Marusya, — Marta whispered.
2814	— Martusya, my girl.
2815	Marta did not turn around, looked at her feet and did not see the house, did not see where to go — instead of the house there were vague ruins, some dark mound that was frightening even to approach.
2816	— Martusya, — the voice called, — look, the cottage is gone.
2817	— I see.
2818	The cottage was gone, but, without turning around, Marta walked through the bushes, which again grabbed her legs, strangled her and wouldn't let her pass.
2819	Already in the darkness she felt out the wall.
2820	Outside it was so quiet that Marta could hear her heart pounding.
2821	The wall was wrapped in hops, which scratched her hands, but she somehow made her way along the wall to the very threshold, searched for the peeling paint on the door, but instead of it there was, for some reason, something smooth and white.
2822	She went on and, forcing her way through the lilac thickets, felt out the door of the other entrance.
2823	Tugging at it, she realized that it was locked.
2824	Someone's footsteps were approaching, and at last Marta saw Maria — she stood there frightened:
2825	— Martusya?
2826	Marta, is that you?
2827	Marta came into the house, she was shaking.
2828	— What's wrong with you?
2829	— Nothing, I got cold.
2830	— Are you going to sleep?
2831	— I will.
2832	In the next room, without even washing her feet, Marta covered herself head and all and, listening to the children crawling about inside her, couldn't fall asleep for a long time.
2833	— The pumpkins are practically placed, — Lilichka reported from behind the monitor the next morning.
2834	— Wonderful, — said Marta.
2835	She was holding a cup, her hands were shaking.
2836	— Marta isn't feeling well somehow, — Maria started to say.
2837	— I'm fine, — Marta interrupted her.
2838	— I just slept badly.
2839	All four women glanced at Marta, but none of them said anything.
2840	— I dreamed… of grandfather, — Marta spoke up.
2841	— What did he say?
2842	— asked the grandmother.
2843	— Something about the cottage.
2844	The grandmother sometimes managed to take offense at the grandfather, when he occasionally came to the children and grandchildren in their dreams and didn't mention her with a single word, didn't ask how she was.
2845	— He should have known that I'm already ninety-seven, — when speaking of her own age, she always added a year to herself.
2846	Marta got up from the table and went to the garage.
2847	Everyone followed her with their eyes.
2848	— Marta's, well, — said Lilichka.
2849	— You know what I mean.
2850	Marta would sometimes have her spells.
2851	But this time it wasn't a spell.
2852	That wasn't the matter.
2853	— And why is she all scratched up?
2854	— asked the grandmother.
2855	— Well, yesterday evening she was scrambling through the bushes for some reason, — retorted Maria.
2856	— She was probably looking at the evening river, — said Miyechka.
2857	— You can't get there anymore without the bushes.
2858	Marta went into the garage.
2859	There stood a cabinet of light wood — all stuffed with books that no one would ever read.
2860	Nor had read, to be quite honest.
2861	In the cabinet's mirror Marta saw herself — beautiful, all of yesterday's scratches blurred in the dusty mirror.
2862	The light fell from the heavy garage doors onto one side.
2863	On that side her hair gleamed.
2864	Perfectly straight and heavy.
2865	— Like a Gypsy woman's, — Marta thought, — so black.
2866	Behind the cabinet in the corner she found pruning shears.
2867	Here's one.
2868	Green.
2869	The second blue.
2870	And the third — a little yellow one.
2871	She gathered all the shears against herself and went back to the table.
2872	— Right, let's go.
2873	— Martusya, — the grandmother spoke up.
2874	— Pregnant women mustn't cut anything!
2875	— Why?
2876	— Well, who knows why, some nonsense, probably.
2877	— Got it.
2878	Lilichka and Miyechka got up and followed Marta.
2879	Maria, the grandmother and Lusya remained at the table outside.
2880	— Listen, — said Marta.
2881	— Yesterday under the willows I heard grandfather.
2882	— How's that?
2883	— asked Lilichka.
2884	— Well, how, he was sitting there and saying that the cottage couldn't be seen.
2885	— Marta, are you sure you're okay?
2886	— asked Lilichka.
2887	— Let's clear away these damn ivies, — Marta didn't answer the question, because she was not okay.
2888	— Lilya, — said Miyechka, — just go and dress normally first.
2889	— What, am I dressed abnormally?
2890	— Dress normally, I say!
2891	— Miyechka repeated.
2892	— What's the matter?
2893	— Oh, just put on some rags, because you infuriate everyone with your tidiness, — evidently Miyechka was not in the best mood that morning either.
2894	— I once had a colleague, — Marta began, — who, for every picnic, every mountain hike, or wherever she went, dressed perfectly.
2895	Her sneakers always stayed white.
2896	What a bitch she was, words can't describe it.
2897	— I'll go put on my eighth-grade shorts, — said Lilichka.
